dataset,scenario,score_source,noise_std,n_runs,f1_mean,f1_std,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,best_f1_mean,best_f1_std,best_percentile_median,rows,params_effective,models_used,params_signature
annthyroid,spike_single,ensemble,0.0,1,0.0,0.0,0.553291,0.0,0.117563,0.0,0.190678,0.0,51.0,7200,"{""contamination"": 0.1, ""magnitude_in_std"": 5.0}","iforest,ocsvm,lof,knn_distance,autoencoder,lstm,flatline,temporal_change,freeze","{""noise_std"": 0.0, ""params"": {""column"": null, ""contamination"": 0.1, ""magnitude_in_std"": 5.0}, ""scenario"": ""spike_single""}"
annthyroid,spike_single,iforest,0.0,1,0.096296,0.0,0.707158,0.0,0.159839,0.0,0.287665,0.0,51.0,7200,"{""contamination"": 0.1, ""magnitude_in_std"": 5.0}","iforest,ocsvm,lof,knn_distance,autoencoder,lstm,flatline,temporal_change,freeze","{""noise_std"": 0.0, ""params"": {""column"": null, ""contamination"": 0.1, ""magnitude_in_std"": 5.0}, ""scenario"": ""spike_single""}"
annthyroid,spike_single,ocsvm,0.0,1,0.068519,0.0,0.739685,0.0,0.175005,0.0,0.323413,0.0,68.0,7200,"{""contamination"": 0.1, ""magnitude_in_std"": 5.0}","iforest,ocsvm,lof,knn_distance,autoencoder,lstm,flatline,temporal_change,freeze","{""noise_std"": 0.0, ""params"": {""column"": null, ""contamination"": 0.1, ""magnitude_in_std"": 5.0}, ""scenario"": ""spike_single""}"
annthyroid,spike_single,lof,0.0,1,0.07037,0.0,0.556101,0.0,0.112441,0.0,0.194444,0.0,55.0,7200,"{""contamination"": 0.1, ""magnitude_in_std"": 5.0}","iforest,ocsvm,lof,knn_distance,autoencoder,lstm,flatline,temporal_change,freeze","{""noise_std"": 0.0, ""params"": {""column"": null, ""contamination"": 0.1, ""magnitude_in_std"": 5.0}, ""scenario"": ""spike_single""}"
annthyroid,spike_single,knn_distance,0.0,1,0.1,0.0,0.744976,0.0,0.183792,0.0,0.308642,0.0,65.0,7200,"{""contamination"": 0.1, ""magnitude_in_std"": 5.0}","iforest,ocsvm,lof,knn_distance,autoencoder,lstm,flatline,temporal_change,freeze","{""noise_std"": 0.0, ""params"": {""column"": null, ""contamination"": 0.1, ""magnitude_in_std"": 5.0}, ""scenario"": ""spike_single""}"
annthyroid,spike_single,autoencoder,0.0,1,0.090741,0.0,0.82186,0.0,0.233055,0.0,0.404412,0.0,76.0,7200,"{""contamination"": 0.1, ""magnitude_in_std"": 5.0}","iforest,ocsvm,lof,knn_distance,autoencoder,lstm,flatline,temporal_change,freeze","{""noise_std"": 0.0, ""params"": {""column"": null, ""contamination"": 0.1, ""magnitude_in_std"": 5.0}, ""scenario"": ""spike_single""}"
annthyroid,spike_single,lstm,0.0,1,0.055556,0.0,0.510209,0.0,0.100214,0.0,0.168056,0.0,50.0,7200,"{""contamination"": 0.1, ""magnitude_in_std"": 5.0}","iforest,ocsvm,lof,knn_distance,autoencoder,lstm,flatline,temporal_change,freeze","{""noise_std"": 0.0, ""params"": {""column"": null, ""contamination"": 0.1, ""magnitude_in_std"": 5.0}, ""scenario"": ""spike_single""}"
annthyroid,spike_single,flatline,0.0,1,0.059259,0.0,0.462168,0.0,0.090124,0.0,0.15,0.0,50.0,7200,"{""contamination"": 0.1, ""magnitude_in_std"": 5.0}","iforest,ocsvm,lof,knn_distance,autoencoder,lstm,flatline,temporal_change,freeze","{""noise_std"": 0.0, ""params"": {""column"": null, ""contamination"": 0.1, ""magnitude_in_std"": 5.0}, ""scenario"": ""spike_single""}"
annthyroid,spike_single,temporal_change,0.0,1,0.068519,0.0,0.584646,0.0,0.117664,0.0,0.201977,0.0,51.0,7200,"{""contamination"": 0.1, ""magnitude_in_std"": 5.0}","iforest,ocsvm,lof,knn_distance,autoencoder,lstm,flatline,temporal_change,freeze","{""noise_std"": 0.0, ""params"": {""column"": null, ""contamination"": 0.1, ""magnitude_in_std"": 5.0}, ""scenario"": ""spike_single""}"
annthyroid,spike_single,freeze,0.0,1,0.054767,0.0,0.4984,0.0,0.09907,0.0,0.170969,0.0,50.0,7200,"{""contamination"": 0.1, ""magnitude_in_std"": 5.0}","iforest,ocsvm,lof,knn_distance,autoencoder,lstm,flatline,temporal_change,freeze","{""noise_std"": 0.0, ""params"": {""column"": null, ""contamination"": 0.1, ""magnitude_in_std"": 5.0}, ""scenario"": ""spike_single""}"
