dataset,scenario,score_source,seed,noise_std,rows,injected_count,detected_count,precision,recall,f1,roc_auc,pr_auc,best_percentile,best_precision,best_recall,best_f1,threshold,models_used,params_effective,params_signature
annthyroid,spike_single,ensemble,42,0.0,7200,720,1,0.0,0.0,0.0,0.553291,0.117563,51.0,0.114796,0.5625,0.190678,0.725572,"iforest,ocsvm,lof,knn_distance,autoencoder,lstm,flatline,temporal_change,freeze","{""contamination"": 0.1, ""magnitude_in_std"": 5.0}","{""noise_std"": 0.0, ""params"": {""column"": null, ""contamination"": 0.1, ""magnitude_in_std"": 5.0}, ""scenario"": ""spike_single""}"
annthyroid,spike_single,iforest,42,0.0,7200,720,360,0.144444,0.072222,0.096296,0.707158,0.159839,51.0,0.173186,0.848611,0.287665,0.695231,"iforest,ocsvm,lof,knn_distance,autoencoder,lstm,flatline,temporal_change,freeze","{""contamination"": 0.1, ""magnitude_in_std"": 5.0}","{""noise_std"": 0.0, ""params"": {""column"": null, ""contamination"": 0.1, ""magnitude_in_std"": 5.0}, ""scenario"": ""spike_single""}"
annthyroid,spike_single,ocsvm,42,0.0,7200,720,360,0.102778,0.051389,0.068519,0.739685,0.175005,68.0,0.21224,0.679167,0.323413,0.246916,"iforest,ocsvm,lof,knn_distance,autoencoder,lstm,flatline,temporal_change,freeze","{""contamination"": 0.1, ""magnitude_in_std"": 5.0}","{""noise_std"": 0.0, ""params"": {""column"": null, ""contamination"": 0.1, ""magnitude_in_std"": 5.0}, ""scenario"": ""spike_single""}"
annthyroid,spike_single,lof,42,0.0,7200,720,360,0.105556,0.052778,0.07037,0.556101,0.112441,55.0,0.118827,0.534722,0.194444,0.487843,"iforest,ocsvm,lof,knn_distance,autoencoder,lstm,flatline,temporal_change,freeze","{""contamination"": 0.1, ""magnitude_in_std"": 5.0}","{""noise_std"": 0.0, ""params"": {""column"": null, ""contamination"": 0.1, ""magnitude_in_std"": 5.0}, ""scenario"": ""spike_single""}"
annthyroid,spike_single,knn_distance,42,0.0,7200,720,360,0.15,0.075,0.1,0.744976,0.183792,65.0,0.198413,0.694444,0.308642,0.247825,"iforest,ocsvm,lof,knn_distance,autoencoder,lstm,flatline,temporal_change,freeze","{""contamination"": 0.1, ""magnitude_in_std"": 5.0}","{""noise_std"": 0.0, ""params"": {""column"": null, ""contamination"": 0.1, ""magnitude_in_std"": 5.0}, ""scenario"": ""spike_single""}"
annthyroid,spike_single,autoencoder,42,0.0,7200,720,360,0.136111,0.068056,0.090741,0.82186,0.233055,76.0,0.286458,0.6875,0.404412,0.172934,"iforest,ocsvm,lof,knn_distance,autoencoder,lstm,flatline,temporal_change,freeze","{""contamination"": 0.1, ""magnitude_in_std"": 5.0}","{""noise_std"": 0.0, ""params"": {""column"": null, ""contamination"": 0.1, ""magnitude_in_std"": 5.0}, ""scenario"": ""spike_single""}"
annthyroid,spike_single,lstm,42,0.0,7200,720,360,0.083333,0.041667,0.055556,0.510209,0.100214,50.0,0.100833,0.504167,0.168056,0.174785,"iforest,ocsvm,lof,knn_distance,autoencoder,lstm,flatline,temporal_change,freeze","{""contamination"": 0.1, ""magnitude_in_std"": 5.0}","{""noise_std"": 0.0, ""params"": {""column"": null, ""contamination"": 0.1, ""magnitude_in_std"": 5.0}, ""scenario"": ""spike_single""}"
annthyroid,spike_single,flatline,42,0.0,7200,720,360,0.088889,0.044444,0.059259,0.462168,0.090124,50.0,0.09,0.45,0.15,0.896618,"iforest,ocsvm,lof,knn_distance,autoencoder,lstm,flatline,temporal_change,freeze","{""contamination"": 0.1, ""magnitude_in_std"": 5.0}","{""noise_std"": 0.0, ""params"": {""column"": null, ""contamination"": 0.1, ""magnitude_in_std"": 5.0}, ""scenario"": ""spike_single""}"
annthyroid,spike_single,temporal_change,42,0.0,7200,720,360,0.102778,0.051389,0.068519,0.584646,0.117664,51.0,0.121599,0.595833,0.201977,0.340408,"iforest,ocsvm,lof,knn_distance,autoencoder,lstm,flatline,temporal_change,freeze","{""contamination"": 0.1, ""magnitude_in_std"": 5.0}","{""noise_std"": 0.0, ""params"": {""column"": null, ""contamination"": 0.1, ""magnitude_in_std"": 5.0}, ""scenario"": ""spike_single""}"
annthyroid,spike_single,freeze,42,0.0,7200,720,266,0.101504,0.0375,0.054767,0.4984,0.09907,50.0,0.103055,0.501389,0.170969,0.79983,"iforest,ocsvm,lof,knn_distance,autoencoder,lstm,flatline,temporal_change,freeze","{""contamination"": 0.1, ""magnitude_in_std"": 5.0}","{""noise_std"": 0.0, ""params"": {""column"": null, ""contamination"": 0.1, ""magnitude_in_std"": 5.0}, ""scenario"": ""spike_single""}"
annthyroid,joint_shift,ensemble,42,0.0,7200,720,360,0.0,0.0,0.0,0.003687,0.05183,95.0,0.0,0.0,0.0,0.636036,"iforest,ocsvm,lof,knn_distance,autoencoder,lstm,flatline,temporal_change,freeze","{""contamination"": 0.1, ""magnitude_in_std"": 4.0}","{""noise_std"": 0.0, ""params"": {""columns"": null, ""contamination"": 0.1, ""magnitude_in_std"": 4.0}, ""scenario"": ""joint_shift""}"
annthyroid,joint_shift,iforest,42,0.0,7200,720,360,0.538889,0.269444,0.359259,0.921632,0.467501,77.0,0.387077,0.890278,0.539562,0.706386,"iforest,ocsvm,lof,knn_distance,autoencoder,lstm,flatline,temporal_change,freeze","{""contamination"": 0.1, ""magnitude_in_std"": 4.0}","{""noise_std"": 0.0, ""params"": {""columns"": null, ""contamination"": 0.1, ""magnitude_in_std"": 4.0}, ""scenario"": ""joint_shift""}"
annthyroid,joint_shift,ocsvm,42,0.0,7200,720,360,0.177778,0.088889,0.118519,0.906364,0.335155,78.0,0.448864,0.9875,0.617188,0.231941,"iforest,ocsvm,lof,knn_distance,autoencoder,lstm,flatline,temporal_change,freeze","{""contamination"": 0.1, ""magnitude_in_std"": 4.0}","{""noise_std"": 0.0, ""params"": {""columns"": null, ""contamination"": 0.1, ""magnitude_in_std"": 4.0}, ""scenario"": ""joint_shift""}"
annthyroid,joint_shift,lof,42,0.0,7200,720,360,0.130556,0.065278,0.087037,0.551391,0.115587,58.0,0.12037,0.505556,0.194444,0.502052,"iforest,ocsvm,lof,knn_distance,autoencoder,lstm,flatline,temporal_change,freeze","{""contamination"": 0.1, ""magnitude_in_std"": 4.0}","{""noise_std"": 0.0, ""params"": {""columns"": null, ""contamination"": 0.1, ""magnitude_in_std"": 4.0}, ""scenario"": ""joint_shift""}"
annthyroid,joint_shift,knn_distance,42,0.0,7200,720,360,0.197222,0.098611,0.131481,0.751571,0.194693,67.0,0.203704,0.672222,0.312661,0.278894,"iforest,ocsvm,lof,knn_distance,autoencoder,lstm,flatline,temporal_change,freeze","{""contamination"": 0.1, ""magnitude_in_std"": 4.0}","{""noise_std"": 0.0, ""params"": {""columns"": null, ""contamination"": 0.1, ""magnitude_in_std"": 4.0}, ""scenario"": ""joint_shift""}"
annthyroid,joint_shift,autoencoder,42,0.0,7200,720,360,0.616667,0.308333,0.411111,0.977497,0.644433,87.0,0.758547,0.986111,0.857488,0.299296,"iforest,ocsvm,lof,knn_distance,autoencoder,lstm,flatline,temporal_change,freeze","{""contamination"": 0.1, ""magnitude_in_std"": 4.0}","{""noise_std"": 0.0, ""params"": {""columns"": null, ""contamination"": 0.1, ""magnitude_in_std"": 4.0}, ""scenario"": ""joint_shift""}"
annthyroid,joint_shift,lstm,42,0.0,7200,720,360,0.113889,0.056944,0.075926,0.741144,0.177554,69.0,0.198029,0.613889,0.299458,0.270101,"iforest,ocsvm,lof,knn_distance,autoencoder,lstm,flatline,temporal_change,freeze","{""contamination"": 0.1, ""magnitude_in_std"": 4.0}","{""noise_std"": 0.0, ""params"": {""columns"": null, ""contamination"": 0.1, ""magnitude_in_std"": 4.0}, ""scenario"": ""joint_shift""}"
annthyroid,joint_shift,flatline,42,0.0,7200,720,360,0.0,0.0,0.0,0.0,0.052272,95.0,0.0,0.0,0.0,0.900744,"iforest,ocsvm,lof,knn_distance,autoencoder,lstm,flatline,temporal_change,freeze","{""contamination"": 0.1, ""magnitude_in_std"": 4.0}","{""noise_std"": 0.0, ""params"": {""columns"": null, ""contamination"": 0.1, ""magnitude_in_std"": 4.0}, ""scenario"": ""joint_shift""}"
annthyroid,joint_shift,temporal_change,42,0.0,7200,720,360,0.511111,0.255556,0.340741,0.925029,0.447925,80.0,0.424306,0.848611,0.565741,0.893739,"iforest,ocsvm,lof,knn_distance,autoencoder,lstm,flatline,temporal_change,freeze","{""contamination"": 0.1, ""magnitude_in_std"": 4.0}","{""noise_std"": 0.0, ""params"": {""columns"": null, ""contamination"": 0.1, ""magnitude_in_std"": 4.0}, ""scenario"": ""joint_shift""}"
annthyroid,joint_shift,freeze,42,0.0,7200,720,253,0.0,0.0,0.0,0.198315,0.063017,95.0,0.0,0.0,0.0,0.966999,"iforest,ocsvm,lof,knn_distance,autoencoder,lstm,flatline,temporal_change,freeze","{""contamination"": 0.1, ""magnitude_in_std"": 4.0}","{""noise_std"": 0.0, ""params"": {""columns"": null, ""contamination"": 0.1, ""magnitude_in_std"": 4.0}, ""scenario"": ""joint_shift""}"
annthyroid,dead_sensor,ensemble,42,0.0,7200,576,360,0.855556,0.534722,0.65812,0.990605,0.793545,91.0,0.811728,0.913194,0.859477,0.45938,"iforest,ocsvm,lof,knn_distance,autoencoder,lstm,flatline,temporal_change,freeze","{""contamination"": 0.08, ""mode"": ""median""}","{""noise_std"": 0.0, ""params"": {""columns"": null, ""constant"": null, ""contamination"": 0.08, ""mode"": ""median""}, ""scenario"": ""dead_sensor""}"
annthyroid,dead_sensor,iforest,42,0.0,7200,576,360,0.0,0.0,0.0,7.5e-05,0.08,95.0,0.0,0.0,0.0,0.702808,"iforest,ocsvm,lof,knn_distance,autoencoder,lstm,flatline,temporal_change,freeze","{""contamination"": 0.08, ""mode"": ""median""}","{""noise_std"": 0.0, ""params"": {""columns"": null, ""constant"": null, ""contamination"": 0.08, ""mode"": ""median""}, ""scenario"": ""dead_sensor""}"
annthyroid,dead_sensor,ocsvm,42,0.0,7200,576,360,0.0,0.0,0.0,0.056159,0.084359,95.0,0.0,0.0,0.0,0.24352,"iforest,ocsvm,lof,knn_distance,autoencoder,lstm,flatline,temporal_change,freeze","{""contamination"": 0.08, ""mode"": ""median""}","{""noise_std"": 0.0, ""params"": {""columns"": null, ""constant"": null, ""contamination"": 0.08, ""mode"": ""median""}, ""scenario"": ""dead_sensor""}"
annthyroid,dead_sensor,lof,42,0.0,7200,576,360,0.0,0.0,0.0,0.065066,0.085094,95.0,0.0,0.0,0.0,0.349432,"iforest,ocsvm,lof,knn_distance,autoencoder,lstm,flatline,temporal_change,freeze","{""contamination"": 0.08, ""mode"": ""median""}","{""noise_std"": 0.0, ""params"": {""columns"": null, ""constant"": null, ""contamination"": 0.08, ""mode"": ""median""}, ""scenario"": ""dead_sensor""}"
