dataset,scenario,score_source,noise_std,n_runs,f1_mean,f1_std,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,best_f1_mean,best_f1_std,best_percentile_median,rows,params_effective,models_used,params_signature
baseline_server_metrics,spike_single,ensemble,0.0,2,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,87.0,24,"{""contamination"": 0.1, ""magnitude_in_std"": 5.0}","iforest,ocsvm,lof,knn_distance,flatline,temporal_change,freeze","{""noise_std"": 0.0, ""params"": {""column"": null, ""contamination"": 0.1, ""magnitude_in_std"": 5.0}, ""scenario"": ""spike_single""}"
baseline_server_metrics,spike_single,iforest,0.0,2,0.6,0.2,0.984127,0.015873,0.902778,0.097222,0.928571,0.071429,85.0,24,"{""contamination"": 0.1, ""magnitude_in_std"": 5.0}","iforest,ocsvm,lof,knn_distance,flatline,temporal_change,freeze","{""noise_std"": 0.0, ""params"": {""column"": null, ""contamination"": 0.1, ""magnitude_in_std"": 5.0}, ""scenario"": ""spike_single""}"
baseline_server_metrics,spike_single,ocsvm,0.0,2,0.2,0.2,0.777778,0.015873,0.319445,0.041666,0.480769,0.019231,59.0,24,"{""contamination"": 0.1, ""magnitude_in_std"": 5.0}","iforest,ocsvm,lof,knn_distance,flatline,temporal_change,freeze","{""noise_std"": 0.0, ""params"": {""column"": null, ""contamination"": 0.1, ""magnitude_in_std"": 5.0}, ""scenario"": ""spike_single""}"
baseline_server_metrics,spike_single,lof,0.0,2,0.8,0.0,1.0,0.0,1.0,0.0,1.0,0.0,87.0,24,"{""contamination"": 0.1, ""magnitude_in_std"": 5.0}","iforest,ocsvm,lof,knn_distance,flatline,temporal_change,freeze","{""noise_std"": 0.0, ""params"": {""column"": null, ""contamination"": 0.1, ""magnitude_in_std"": 5.0}, ""scenario"": ""spike_single""}"
baseline_server_metrics,spike_single,knn_distance,0.0,2,0.8,0.0,1.0,0.0,1.0,0.0,1.0,0.0,87.0,24,"{""contamination"": 0.1, ""magnitude_in_std"": 5.0}","iforest,ocsvm,lof,knn_distance,flatline,temporal_change,freeze","{""noise_std"": 0.0, ""params"": {""column"": null, ""contamination"": 0.1, ""magnitude_in_std"": 5.0}, ""scenario"": ""spike_single""}"
baseline_server_metrics,spike_single,flatline,0.0,2,0.0,0.0,0.31746,0.095238,0.123019,0.018103,0.142857,0.142857,74.0,24,"{""contamination"": 0.1, ""magnitude_in_std"": 5.0}","iforest,ocsvm,lof,knn_distance,flatline,temporal_change,freeze","{""noise_std"": 0.0, ""params"": {""column"": null, ""contamination"": 0.1, ""magnitude_in_std"": 5.0}, ""scenario"": ""spike_single""}"
baseline_server_metrics,spike_single,temporal_change,0.0,2,0.2,0.2,0.690476,0.174603,0.293499,0.131501,0.383839,0.161616,70.0,24,"{""contamination"": 0.1, ""magnitude_in_std"": 5.0}","iforest,ocsvm,lof,knn_distance,flatline,temporal_change,freeze","{""noise_std"": 0.0, ""params"": {""column"": null, ""contamination"": 0.1, ""magnitude_in_std"": 5.0}, ""scenario"": ""spike_single""}"
baseline_server_metrics,spike_single,freeze,0.0,2,0.0,0.0,0.5,0.0,0.125,0.0,0.0,0.0,95.0,24,"{""contamination"": 0.1, ""magnitude_in_std"": 5.0}","iforest,ocsvm,lof,knn_distance,flatline,temporal_change,freeze","{""noise_std"": 0.0, ""params"": {""column"": null, ""contamination"": 0.1, ""magnitude_in_std"": 5.0}, ""scenario"": ""spike_single""}"
baseline_server_metrics,joint_shift,ensemble,0.0,2,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,87.0,24,"{""contamination"": 0.1, ""magnitude_in_std"": 4.0}","iforest,ocsvm,lof,knn_distance,flatline,temporal_change,freeze","{""noise_std"": 0.0, ""params"": {""columns"": null, ""contamination"": 0.1, ""magnitude_in_std"": 4.0}, ""scenario"": ""joint_shift""}"
baseline_server_metrics,joint_shift,iforest,0.0,2,0.8,0.0,1.0,0.0,1.0,0.0,1.0,0.0,87.0,24,"{""contamination"": 0.1, ""magnitude_in_std"": 4.0}","iforest,ocsvm,lof,knn_distance,flatline,temporal_change,freeze","{""noise_std"": 0.0, ""params"": {""columns"": null, ""contamination"": 0.1, ""magnitude_in_std"": 4.0}, ""scenario"": ""joint_shift""}"
