dataset,scenario,score_source,seed,noise_std,rows,injected_count,detected_count,precision,recall,f1,roc_auc,pr_auc,best_percentile,best_precision,best_recall,best_f1,threshold,models_used,params_effective,params_signature
baseline_server_metrics,spike_single,ensemble,42,0.0,24,3,2,1.0,0.666667,0.8,1.0,1.0,87.0,1.0,1.0,1.0,0.894792,"iforest,ocsvm,lof","{""contamination"": 0.1, ""magnitude_in_std"": 5.0}","{""noise_std"": 0.0, ""params"": {""column"": null, ""contamination"": 0.1, ""magnitude_in_std"": 5.0}, ""scenario"": ""spike_single""}"
baseline_server_metrics,spike_single,iforest,42,0.0,24,3,2,1.0,0.666667,0.8,1.0,1.0,87.0,1.0,1.0,1.0,0.856386,"iforest,ocsvm,lof","{""contamination"": 0.1, ""magnitude_in_std"": 5.0}","{""noise_std"": 0.0, ""params"": {""column"": null, ""contamination"": 0.1, ""magnitude_in_std"": 5.0}, ""scenario"": ""spike_single""}"
baseline_server_metrics,spike_single,ocsvm,42,0.0,24,3,2,0.0,0.0,0.0,0.698413,0.230952,57.0,0.3,1.0,0.461538,0.999825,"iforest,ocsvm,lof","{""contamination"": 0.1, ""magnitude_in_std"": 5.0}","{""noise_std"": 0.0, ""params"": {""column"": null, ""contamination"": 0.1, ""magnitude_in_std"": 5.0}, ""scenario"": ""spike_single""}"
baseline_server_metrics,spike_single,lof,42,0.0,24,3,2,1.0,0.666667,0.8,1.0,1.0,87.0,1.0,1.0,1.0,0.69533,"iforest,ocsvm,lof","{""contamination"": 0.1, ""magnitude_in_std"": 5.0}","{""noise_std"": 0.0, ""params"": {""column"": null, ""contamination"": 0.1, ""magnitude_in_std"": 5.0}, ""scenario"": ""spike_single""}"
baseline_server_metrics,spike_single,ensemble,7,0.0,24,3,2,1.0,0.666667,0.8,1.0,1.0,87.0,1.0,1.0,1.0,0.870936,"iforest,ocsvm,lof","{""contamination"": 0.1, ""magnitude_in_std"": 5.0}","{""noise_std"": 0.0, ""params"": {""column"": null, ""contamination"": 0.1, ""magnitude_in_std"": 5.0}, ""scenario"": ""spike_single""}"
baseline_server_metrics,spike_single,iforest,7,0.0,24,3,2,1.0,0.666667,0.8,1.0,1.0,87.0,1.0,1.0,1.0,0.825808,"iforest,ocsvm,lof","{""contamination"": 0.1, ""magnitude_in_std"": 5.0}","{""noise_std"": 0.0, ""params"": {""column"": null, ""contamination"": 0.1, ""magnitude_in_std"": 5.0}, ""scenario"": ""spike_single""}"
baseline_server_metrics,spike_single,ocsvm,7,0.0,24,3,2,0.0,0.0,0.0,0.777778,0.286905,66.0,0.375,1.0,0.545455,0.997855,"iforest,ocsvm,lof","{""contamination"": 0.1, ""magnitude_in_std"": 5.0}","{""noise_std"": 0.0, ""params"": {""column"": null, ""contamination"": 0.1, ""magnitude_in_std"": 5.0}, ""scenario"": ""spike_single""}"
baseline_server_metrics,spike_single,lof,7,0.0,24,3,2,1.0,0.666667,0.8,1.0,1.0,87.0,1.0,1.0,1.0,0.348838,"iforest,ocsvm,lof","{""contamination"": 0.1, ""magnitude_in_std"": 5.0}","{""noise_std"": 0.0, ""params"": {""column"": null, ""contamination"": 0.1, ""magnitude_in_std"": 5.0}, ""scenario"": ""spike_single""}"
baseline_server_metrics,joint_shift,ensemble,42,0.0,24,3,2,1.0,0.666667,0.8,1.0,1.0,87.0,1.0,1.0,1.0,0.915311,"iforest,ocsvm,lof","{""contamination"": 0.1, ""magnitude_in_std"": 4.0}","{""noise_std"": 0.0, ""params"": {""columns"": null, ""contamination"": 0.1, ""magnitude_in_std"": 4.0}, ""scenario"": ""joint_shift""}"
baseline_server_metrics,joint_shift,iforest,42,0.0,24,3,2,1.0,0.666667,0.8,1.0,1.0,87.0,1.0,1.0,1.0,0.965616,"iforest,ocsvm,lof","{""contamination"": 0.1, ""magnitude_in_std"": 4.0}","{""noise_std"": 0.0, ""params"": {""columns"": null, ""contamination"": 0.1, ""magnitude_in_std"": 4.0}, ""scenario"": ""joint_shift""}"
