score_source,datasets,avg_f1,avg_roc_auc,avg_pr_auc
ocsvm,10,0.2053144,0.6833734,0.3238972
autoencoder,8,0.15104800000000002,0.701252625,0.31991725
lstm,9,0.14957155555555557,0.7352242222222222,0.2704356666666667
freeze,10,0.132783,0.564267,0.2284668
ensemble,10,0.1283029,0.6687017,0.2216669
temporal_change,10,0.10929420000000001,0.6561872,0.1964713
knn_distance,10,0.108455,0.6713872000000001,0.2607526
iforest,10,0.09594420000000001,0.7464464,0.28797039999999996
lof,10,0.0725866,0.5624526000000001,0.17572749999999998
flatline,10,0.0136389,0.3395646,0.1040489
