dataset,scenario,score_source,rows,positive_count,predicted_positive_count,precision,recall,f1,roc_auc,pr_auc,models_used,meta_selected_source,meta_matched_dataset
adb_annthyroid,real,ensemble,7200,534,360,0.35,0.235955,0.281879,0.765459,0.273469,"iforest,ocsvm,lof,knn_distance,autoencoder,lstm,flatline,temporal_change,freeze",,
adb_annthyroid,real,iforest,7200,534,360,0.122222,0.082397,0.098434,0.585018,0.095023,"iforest,ocsvm,lof,knn_distance,autoencoder,lstm,flatline,temporal_change,freeze",,
adb_annthyroid,real,ocsvm,7200,534,360,0.611111,0.411985,0.49217,0.799704,0.469616,"iforest,ocsvm,lof,knn_distance,autoencoder,lstm,flatline,temporal_change,freeze",,
adb_annthyroid,real,lof,7200,534,360,0.033333,0.022472,0.026846,0.474831,0.067671,"iforest,ocsvm,lof,knn_distance,autoencoder,lstm,flatline,temporal_change,freeze",,
adb_annthyroid,real,knn_distance,7200,534,360,0.558333,0.376404,0.449664,0.909909,0.494924,"iforest,ocsvm,lof,knn_distance,autoencoder,lstm,flatline,temporal_change,freeze",,
adb_annthyroid,real,autoencoder,7200,534,360,0.352778,0.237828,0.284116,0.645661,0.255669,"iforest,ocsvm,lof,knn_distance,autoencoder,lstm,flatline,temporal_change,freeze",,
adb_annthyroid,real,lstm,7200,534,360,0.158333,0.106742,0.127517,0.646452,0.117495,"iforest,ocsvm,lof,knn_distance,autoencoder,lstm,flatline,temporal_change,freeze",,
adb_annthyroid,real,flatline,7200,534,360,0.005556,0.003745,0.004474,0.420719,0.058064,"iforest,ocsvm,lof,knn_distance,autoencoder,lstm,flatline,temporal_change,freeze",,
adb_annthyroid,real,temporal_change,7200,534,360,0.327778,0.220974,0.263982,0.744766,0.21787,"iforest,ocsvm,lof,knn_distance,autoencoder,lstm,flatline,temporal_change,freeze",,
adb_annthyroid,real,freeze,7200,534,280,0.064286,0.033708,0.044226,0.501809,0.073024,"iforest,ocsvm,lof,knn_distance,autoencoder,lstm,flatline,temporal_change,freeze",,
kddcup99_http,real,ensemble,10000,376,500,0.022,0.029255,0.025114,0.042402,0.035612,"iforest,ocsvm,lof,knn_distance,lstm,flatline,temporal_change,freeze",,
kddcup99_http,real,iforest,10000,376,281,0.05694,0.042553,0.048706,0.973448,0.568364,"iforest,ocsvm,lof,knn_distance,lstm,flatline,temporal_change,freeze",,
kddcup99_http,real,ocsvm,10000,376,500,0.752,1.0,0.858447,0.997195,0.874419,"iforest,ocsvm,lof,knn_distance,lstm,flatline,temporal_change,freeze",,
kddcup99_http,real,lof,10000,376,500,0.032,0.042553,0.03653,0.341122,0.058259,"iforest,ocsvm,lof,knn_distance,lstm,flatline,temporal_change,freeze",,
kddcup99_http,real,knn_distance,10000,376,499,0.02004,0.026596,0.022857,0.030518,0.038397,"iforest,ocsvm,lof,knn_distance,lstm,flatline,temporal_change,freeze",,
kddcup99_http,real,lstm,10000,376,500,0.75,0.99734,0.856164,0.999866,0.998452,"iforest,ocsvm,lof,knn_distance,lstm,flatline,temporal_change,freeze",,
kddcup99_http,real,flatline,10000,376,500,0.0,0.0,0.0,0.174431,0.043313,"iforest,ocsvm,lof,knn_distance,lstm,flatline,temporal_change,freeze",,
kddcup99_http,real,temporal_change,10000,376,499,0.024048,0.031915,0.027429,0.039919,0.035875,"iforest,ocsvm,lof,knn_distance,lstm,flatline,temporal_change,freeze",,
kddcup99_http,real,freeze,10000,376,478,0.75523,0.960106,0.845433,0.981763,0.95798,"iforest,ocsvm,lof,knn_distance,lstm,flatline,temporal_change,freeze",,
kddcup99_smtp,real,ensemble,9571,3,479,0.004175,0.666667,0.008299,0.875105,0.095518,"iforest,ocsvm,lof,knn_distance,lstm,flatline,temporal_change,freeze",,
kddcup99_smtp,real,iforest,9571,3,479,0.004175,0.666667,0.008299,0.89862,0.014244,"iforest,ocsvm,lof,knn_distance,lstm,flatline,temporal_change,freeze",,
kddcup99_smtp,real,ocsvm,9571,3,479,0.004175,0.666667,0.008299,0.688545,0.014002,"iforest,ocsvm,lof,knn_distance,lstm,flatline,temporal_change,freeze",,
kddcup99_smtp,real,lof,9571,3,479,0.004175,0.666667,0.008299,0.765294,0.014039,"iforest,ocsvm,lof,knn_distance,lstm,flatline,temporal_change,freeze",,
kddcup99_smtp,real,knn_distance,9571,3,479,0.004175,0.666667,0.008299,0.927467,0.014391,"iforest,ocsvm,lof,knn_distance,lstm,flatline,temporal_change,freeze",,
kddcup99_smtp,real,lstm,9571,3,479,0.002088,0.333333,0.004149,0.896774,0.002326,"iforest,ocsvm,lof,knn_distance,lstm,flatline,temporal_change,freeze",,
kddcup99_smtp,real,flatline,9571,3,479,0.0,0.0,0.0,0.276721,0.000353,"iforest,ocsvm,lof,knn_distance,lstm,flatline,temporal_change,freeze",,
kddcup99_smtp,real,temporal_change,9571,3,479,0.004175,0.666667,0.008299,0.864374,0.014009,"iforest,ocsvm,lof,knn_distance,lstm,flatline,temporal_change,freeze",,
kddcup99_smtp,real,freeze,9571,3,282,0.0,0.0,0.0,0.633553,0.000674,"iforest,ocsvm,lof,knn_distance,lstm,flatline,temporal_change,freeze",,
uci_glass_rare_class,real,ensemble,214,9,9,0.111111,0.111111,0.111111,0.726829,0.13487,"iforest,ocsvm,lof,knn_distance,autoencoder,lstm,flatline,temporal_change,freeze",,
uci_glass_rare_class,real,iforest,214,9,11,0.090909,0.111111,0.1,0.735501,0.093566,"iforest,ocsvm,lof,knn_distance,autoencoder,lstm,flatline,temporal_change,freeze",,
uci_glass_rare_class,real,ocsvm,214,9,11,0.090909,0.111111,0.1,0.450407,0.090105,"iforest,ocsvm,lof,knn_distance,autoencoder,lstm,flatline,temporal_change,freeze",,
uci_glass_rare_class,real,lof,214,9,11,0.181818,0.222222,0.2,0.786992,0.13359,"iforest,ocsvm,lof,knn_distance,autoencoder,lstm,flatline,temporal_change,freeze",,
uci_glass_rare_class,real,knn_distance,214,9,11,0.090909,0.111111,0.1,0.83252,0.131346,"iforest,ocsvm,lof,knn_distance,autoencoder,lstm,flatline,temporal_change,freeze",,
uci_glass_rare_class,real,autoencoder,214,9,11,0.090909,0.111111,0.1,0.697019,0.113007,"iforest,ocsvm,lof,knn_distance,autoencoder,lstm,flatline,temporal_change,freeze",,
uci_glass_rare_class,real,lstm,214,9,11,0.0,0.0,0.0,0.878049,0.154376,"iforest,ocsvm,lof,knn_distance,autoencoder,lstm,flatline,temporal_change,freeze",,
uci_glass_rare_class,real,flatline,214,9,11,0.0,0.0,0.0,0.492683,0.042821,"iforest,ocsvm,lof,knn_distance,autoencoder,lstm,flatline,temporal_change,freeze",,
uci_glass_rare_class,real,temporal_change,214,9,11,0.090909,0.111111,0.1,0.693767,0.101953,"iforest,ocsvm,lof,knn_distance,autoencoder,lstm,flatline,temporal_change,freeze",,
uci_glass_rare_class,real,freeze,214,9,10,0.2,0.222222,0.210526,0.687805,0.201026,"iforest,ocsvm,lof,knn_distance,autoencoder,lstm,flatline,temporal_change,freeze",,
uci_pendigits_digit0,real,ensemble,7494,780,375,0.242667,0.116667,0.157576,0.674208,0.18406,"iforest,ocsvm,lof,knn_distance,autoencoder,lstm,flatline,temporal_change,freeze",,
uci_pendigits_digit0,real,iforest,7494,780,375,0.181333,0.087179,0.117749,0.616216,0.142851,"iforest,ocsvm,lof,knn_distance,autoencoder,lstm,flatline,temporal_change,freeze",,
uci_pendigits_digit0,real,ocsvm,7494,780,375,0.192,0.092308,0.124675,0.719925,0.182777,"iforest,ocsvm,lof,knn_distance,autoencoder,lstm,flatline,temporal_change,freeze",,
uci_pendigits_digit0,real,lof,7494,780,375,0.141333,0.067949,0.091775,0.505189,0.112156,"iforest,ocsvm,lof,knn_distance,autoencoder,lstm,flatline,temporal_change,freeze",,
uci_pendigits_digit0,real,knn_distance,7494,780,375,0.106667,0.051282,0.069264,0.429178,0.092367,"iforest,ocsvm,lof,knn_distance,autoencoder,lstm,flatline,temporal_change,freeze",,
uci_pendigits_digit0,real,autoencoder,7494,780,375,0.466667,0.224359,0.30303,0.728045,0.272014,"iforest,ocsvm,lof,knn_distance,autoencoder,lstm,flatline,temporal_change,freeze",,
uci_pendigits_digit0,real,lstm,7494,780,375,0.197333,0.094872,0.128139,0.646036,0.164891,"iforest,ocsvm,lof,knn_distance,autoencoder,lstm,flatline,temporal_change,freeze",,
