dataset,scenario,score_source,rows,positive_count,predicted_positive_count,precision,recall,f1,roc_auc,pr_auc,models_used,meta_selected_source,meta_matched_dataset
adb_annthyroid,real,ensemble,7200,534,360,0.327778,0.220974,0.263982,0.744766,0.21787,"iforest,ocsvm,lof,autoencoder,lstm,flatline,temporal_change,freeze",,
adb_annthyroid,real,iforest,7200,534,360,0.102778,0.069288,0.082774,0.543953,0.088524,"iforest,ocsvm,lof,autoencoder,lstm,flatline,temporal_change,freeze",,
adb_annthyroid,real,ocsvm,7200,534,360,0.138889,0.093633,0.111857,0.571101,0.104523,"iforest,ocsvm,lof,autoencoder,lstm,flatline,temporal_change,freeze",,
adb_annthyroid,real,lof,7200,534,360,0.175,0.117978,0.14094,0.67524,0.133454,"iforest,ocsvm,lof,autoencoder,lstm,flatline,temporal_change,freeze",,
adb_annthyroid,real,autoencoder,7200,534,360,0.088889,0.059925,0.071588,0.575766,0.095103,"iforest,ocsvm,lof,autoencoder,lstm,flatline,temporal_change,freeze",,
adb_annthyroid,real,lstm,7200,534,360,0.083333,0.05618,0.067114,0.523629,0.081635,"iforest,ocsvm,lof,autoencoder,lstm,flatline,temporal_change,freeze",,
adb_annthyroid,real,flatline,7200,534,360,0.005556,0.003745,0.004474,0.420719,0.058064,"iforest,ocsvm,lof,autoencoder,lstm,flatline,temporal_change,freeze",,
adb_annthyroid,real,temporal_change,7200,534,360,0.327778,0.220974,0.263982,0.744766,0.21787,"iforest,ocsvm,lof,autoencoder,lstm,flatline,temporal_change,freeze",,
adb_annthyroid,real,freeze,7200,534,280,0.064286,0.033708,0.044226,0.501809,0.073024,"iforest,ocsvm,lof,autoencoder,lstm,flatline,temporal_change,freeze",,
kddcup99_http,real,ensemble,10000,376,499,0.024048,0.031915,0.027429,0.039919,0.035875,"iforest,ocsvm,lof,lstm,flatline,temporal_change,freeze",,
kddcup99_http,real,iforest,10000,376,197,0.081218,0.042553,0.055846,0.981807,0.653128,"iforest,ocsvm,lof,lstm,flatline,temporal_change,freeze",,
kddcup99_http,real,ocsvm,10000,376,500,0.752,1.0,0.858447,0.996187,0.836683,"iforest,ocsvm,lof,lstm,flatline,temporal_change,freeze",,
kddcup99_http,real,lof,10000,376,500,0.032,0.042553,0.03653,0.335706,0.054929,"iforest,ocsvm,lof,lstm,flatline,temporal_change,freeze",,
kddcup99_http,real,lstm,10000,376,500,0.692,0.920213,0.789954,0.987559,0.652237,"iforest,ocsvm,lof,lstm,flatline,temporal_change,freeze",,
kddcup99_http,real,flatline,10000,376,500,0.0,0.0,0.0,0.174431,0.043313,"iforest,ocsvm,lof,lstm,flatline,temporal_change,freeze",,
kddcup99_http,real,temporal_change,10000,376,499,0.024048,0.031915,0.027429,0.039919,0.035875,"iforest,ocsvm,lof,lstm,flatline,temporal_change,freeze",,
kddcup99_http,real,freeze,10000,376,478,0.75523,0.960106,0.845433,0.981763,0.95798,"iforest,ocsvm,lof,lstm,flatline,temporal_change,freeze",,
kddcup99_smtp,real,ensemble,9571,3,479,0.004175,0.666667,0.008299,0.864374,0.014009,"iforest,ocsvm,lof,lstm,flatline,temporal_change,freeze",,
kddcup99_smtp,real,iforest,9571,3,479,0.004175,0.666667,0.008299,0.83727,0.014107,"iforest,ocsvm,lof,lstm,flatline,temporal_change,freeze",,
kddcup99_smtp,real,ocsvm,9571,3,479,0.004175,0.666667,0.008299,0.699624,0.014006,"iforest,ocsvm,lof,lstm,flatline,temporal_change,freeze",,
kddcup99_smtp,real,lof,9571,3,479,0.004175,0.666667,0.008299,0.814817,0.004904,"iforest,ocsvm,lof,lstm,flatline,temporal_change,freeze",,
kddcup99_smtp,real,lstm,9571,3,479,0.004175,0.666667,0.008299,0.91597,0.01432,"iforest,ocsvm,lof,lstm,flatline,temporal_change,freeze",,
kddcup99_smtp,real,flatline,9571,3,479,0.0,0.0,0.0,0.276721,0.000353,"iforest,ocsvm,lof,lstm,flatline,temporal_change,freeze",,
kddcup99_smtp,real,temporal_change,9571,3,479,0.004175,0.666667,0.008299,0.864374,0.014009,"iforest,ocsvm,lof,lstm,flatline,temporal_change,freeze",,
kddcup99_smtp,real,freeze,9571,3,282,0.0,0.0,0.0,0.633553,0.000674,"iforest,ocsvm,lof,lstm,flatline,temporal_change,freeze",,
uci_glass_rare_class,real,ensemble,214,9,5,0.2,0.111111,0.142857,0.693767,0.101953,"iforest,ocsvm,lof,autoencoder,lstm,flatline,temporal_change,freeze",,
uci_glass_rare_class,real,iforest,214,9,11,0.090909,0.111111,0.1,0.668293,0.088927,"iforest,ocsvm,lof,autoencoder,lstm,flatline,temporal_change,freeze",,
uci_glass_rare_class,real,ocsvm,214,9,11,0.090909,0.111111,0.1,0.462873,0.09118,"iforest,ocsvm,lof,autoencoder,lstm,flatline,temporal_change,freeze",,
uci_glass_rare_class,real,lof,214,9,11,0.090909,0.111111,0.1,0.848238,0.154264,"iforest,ocsvm,lof,autoencoder,lstm,flatline,temporal_change,freeze",,
uci_glass_rare_class,real,autoencoder,214,9,11,0.0,0.0,0.0,0.5729,0.058392,"iforest,ocsvm,lof,autoencoder,lstm,flatline,temporal_change,freeze",,
uci_glass_rare_class,real,lstm,214,9,11,0.0,0.0,0.0,0.787534,0.09587,"iforest,ocsvm,lof,autoencoder,lstm,flatline,temporal_change,freeze",,
uci_glass_rare_class,real,flatline,214,9,11,0.0,0.0,0.0,0.492683,0.042821,"iforest,ocsvm,lof,autoencoder,lstm,flatline,temporal_change,freeze",,
uci_glass_rare_class,real,temporal_change,214,9,11,0.090909,0.111111,0.1,0.693767,0.101953,"iforest,ocsvm,lof,autoencoder,lstm,flatline,temporal_change,freeze",,
uci_glass_rare_class,real,freeze,214,9,10,0.2,0.222222,0.210526,0.687805,0.201026,"iforest,ocsvm,lof,autoencoder,lstm,flatline,temporal_change,freeze",,
uci_pendigits_digit0,real,ensemble,7494,780,375,0.269333,0.129487,0.174892,0.685206,0.199049,"iforest,ocsvm,lof,autoencoder,lstm,flatline,temporal_change,freeze",,
uci_pendigits_digit0,real,iforest,7494,780,375,0.170667,0.082051,0.110823,0.588642,0.129076,"iforest,ocsvm,lof,autoencoder,lstm,flatline,temporal_change,freeze",,
uci_pendigits_digit0,real,ocsvm,7494,780,375,0.162667,0.078205,0.105628,0.715696,0.168477,"iforest,ocsvm,lof,autoencoder,lstm,flatline,temporal_change,freeze",,
uci_pendigits_digit0,real,lof,7494,780,375,0.173333,0.083333,0.112554,0.503592,0.116464,"iforest,ocsvm,lof,autoencoder,lstm,flatline,temporal_change,freeze",,
uci_pendigits_digit0,real,autoencoder,7494,780,375,0.554667,0.266667,0.360173,0.87016,0.39275,"iforest,ocsvm,lof,autoencoder,lstm,flatline,temporal_change,freeze",,
uci_pendigits_digit0,real,lstm,7494,780,375,0.218667,0.105128,0.141991,0.64891,0.164974,"iforest,ocsvm,lof,autoencoder,lstm,flatline,temporal_change,freeze",,
uci_pendigits_digit0,real,flatline,7494,780,375,0.008,0.003846,0.005195,0.284357,0.066998,"iforest,ocsvm,lof,autoencoder,lstm,flatline,temporal_change,freeze",,
uci_pendigits_digit0,real,temporal_change,7494,780,375,0.269333,0.129487,0.174892,0.685206,0.199049,"iforest,ocsvm,lof,autoencoder,lstm,flatline,temporal_change,freeze",,
uci_pendigits_digit0,real,freeze,7494,780,332,0.054217,0.023077,0.032374,0.400857,0.08229,"iforest,ocsvm,lof,autoencoder,lstm,flatline,temporal_change,freeze",,
uci_ionosphere_bad,real,ensemble,351,126,18,0.333333,0.047619,0.083333,0.615714,0.419973,"iforest,ocsvm,lof,autoencoder,lstm,flatline,temporal_change,freeze",,
uci_ionosphere_bad,real,iforest,351,126,18,1.0,0.142857,0.25,0.922787,0.908379,"iforest,ocsvm,lof,autoencoder,lstm,flatline,temporal_change,freeze",,
uci_ionosphere_bad,real,ocsvm,351,126,18,1.0,0.142857,0.25,0.737143,0.742532,"iforest,ocsvm,lof,autoencoder,lstm,flatline,temporal_change,freeze",,
uci_ionosphere_bad,real,lof,351,126,18,0.944444,0.134921,0.236111,0.901093,0.860154,"iforest,ocsvm,lof,autoencoder,lstm,flatline,temporal_change,freeze",,
uci_ionosphere_bad,real,autoencoder,351,126,18,1.0,0.142857,0.25,0.826737,0.789028,"iforest,ocsvm,lof,autoencoder,lstm,flatline,temporal_change,freeze",,
uci_ionosphere_bad,real,lstm,351,126,18,0.555556,0.079365,0.138889,0.652099,0.488357,"iforest,ocsvm,lof,autoencoder,lstm,flatline,temporal_change,freeze",,
uci_ionosphere_bad,real,flatline,351,126,18,0.333333,0.047619,0.083333,0.45679,0.327223,"iforest,ocsvm,lof,autoencoder,lstm,flatline,temporal_change,freeze",,
uci_ionosphere_bad,real,temporal_change,351,126,18,0.333333,0.047619,0.083333,0.615714,0.419973,"iforest,ocsvm,lof,autoencoder,lstm,flatline,temporal_change,freeze",,
uci_ionosphere_bad,real,freeze,351,126,18,0.277778,0.039683,0.069444,0.438236,0.344893,"iforest,ocsvm,lof,autoencoder,lstm,flatline,temporal_change,freeze",,
uci_wdbc_malignant,real,ensemble,569,212,29,0.517241,0.070755,0.124481,0.674357,0.500284,"iforest,ocsvm,lof,autoencoder,lstm,flatline,temporal_change,freeze",,
uci_wdbc_malignant,real,iforest,569,212,29,0.551724,0.075472,0.13278,0.64881,0.496344,"iforest,ocsvm,lof,autoencoder,lstm,flatline,temporal_change,freeze",,
uci_wdbc_malignant,real,ocsvm,569,212,29,0.689655,0.09434,0.165975,0.646041,0.516149,"iforest,ocsvm,lof,autoencoder,lstm,flatline,temporal_change,freeze",,
uci_wdbc_malignant,real,lof,569,212,29,0.413793,0.056604,0.099585,0.546925,0.410176,"iforest,ocsvm,lof,autoencoder,lstm,flatline,temporal_change,freeze",,
uci_wdbc_malignant,real,autoencoder,569,212,29,0.793103,0.108491,0.190871,0.807271,0.687675,"iforest,ocsvm,lof,autoencoder,lstm,flatline,temporal_change,freeze",,
uci_wdbc_malignant,real,lstm,569,212,29,0.62069,0.084906,0.149378,0.631336,0.507247,"iforest,ocsvm,lof,autoencoder,lstm,flatline,temporal_change,freeze",,
uci_wdbc_malignant,real,flatline,569,212,29,0.034483,0.004717,0.008299,0.315337,0.272811,"iforest,ocsvm,lof,autoencoder,lstm,flatline,temporal_change,freeze",,
uci_wdbc_malignant,real,temporal_change,569,212,29,0.517241,0.070755,0.124481,0.674357,0.500284,"iforest,ocsvm,lof,autoencoder,lstm,flatline,temporal_change,freeze",,
