dataset,scenario,score_source,rows,positive_count,predicted_positive_count,precision,recall,f1,roc_auc,pr_auc,models_used
adb_annthyroid,real,ensemble,7200,534,1,0.0,0.0,0.0,0.506604,0.075368,"iforest,ocsvm,lof,autoencoder,lstm,flatline,temporal_change,freeze"
adb_annthyroid,real,iforest,7200,534,360,0.102778,0.069288,0.082774,0.571216,0.093507,"iforest,ocsvm,lof,autoencoder,lstm,flatline,temporal_change,freeze"
adb_annthyroid,real,ocsvm,7200,534,360,0.125,0.08427,0.100671,0.572596,0.102436,"iforest,ocsvm,lof,autoencoder,lstm,flatline,temporal_change,freeze"
adb_annthyroid,real,lof,7200,534,360,0.141667,0.095506,0.114094,0.662907,0.124939,"iforest,ocsvm,lof,autoencoder,lstm,flatline,temporal_change,freeze"
adb_annthyroid,real,autoencoder,7200,534,360,0.111111,0.074906,0.089485,0.58272,0.100738,"iforest,ocsvm,lof,autoencoder,lstm,flatline,temporal_change,freeze"
adb_annthyroid,real,lstm,7200,534,360,0.086111,0.058052,0.069351,0.503978,0.076804,"iforest,ocsvm,lof,autoencoder,lstm,flatline,temporal_change,freeze"
adb_annthyroid,real,flatline,7200,534,360,0.005556,0.003745,0.004474,0.420719,0.058064,"iforest,ocsvm,lof,autoencoder,lstm,flatline,temporal_change,freeze"
adb_annthyroid,real,temporal_change,7200,534,360,0.327778,0.220974,0.263982,0.744766,0.21787,"iforest,ocsvm,lof,autoencoder,lstm,flatline,temporal_change,freeze"
adb_annthyroid,real,freeze,7200,534,280,0.064286,0.033708,0.044226,0.501809,0.073024,"iforest,ocsvm,lof,autoencoder,lstm,flatline,temporal_change,freeze"
kddcup99_http,real,ensemble,10000,376,500,0.016,0.021277,0.018265,0.860582,0.145593,"iforest,ocsvm,lof,lstm,flatline,temporal_change,freeze"
kddcup99_http,real,iforest,10000,376,190,0.084211,0.042553,0.056537,0.982504,0.661354,"iforest,ocsvm,lof,lstm,flatline,temporal_change,freeze"
kddcup99_http,real,ocsvm,10000,376,500,0.752,1.0,0.858447,0.996207,0.837416,"iforest,ocsvm,lof,lstm,flatline,temporal_change,freeze"
kddcup99_http,real,lof,10000,376,500,0.032,0.042553,0.03653,0.338738,0.055085,"iforest,ocsvm,lof,lstm,flatline,temporal_change,freeze"
kddcup99_http,real,lstm,10000,376,500,0.58,0.771277,0.6621,0.977585,0.49869,"iforest,ocsvm,lof,lstm,flatline,temporal_change,freeze"
kddcup99_http,real,flatline,10000,376,500,0.0,0.0,0.0,0.174431,0.043313,"iforest,ocsvm,lof,lstm,flatline,temporal_change,freeze"
kddcup99_http,real,temporal_change,10000,376,499,0.024048,0.031915,0.027429,0.039919,0.035875,"iforest,ocsvm,lof,lstm,flatline,temporal_change,freeze"
kddcup99_http,real,freeze,10000,376,478,0.75523,0.960106,0.845433,0.981763,0.95798,"iforest,ocsvm,lof,lstm,flatline,temporal_change,freeze"
kddcup99_smtp,real,ensemble,9571,3,479,0.002088,0.333333,0.004149,0.849742,0.001918,"iforest,ocsvm,lof,lstm,flatline,temporal_change,freeze"
kddcup99_smtp,real,iforest,9571,3,479,0.004175,0.666667,0.008299,0.861936,0.014147,"iforest,ocsvm,lof,lstm,flatline,temporal_change,freeze"
kddcup99_smtp,real,ocsvm,9571,3,479,0.004175,0.666667,0.008299,0.699902,0.014006,"iforest,ocsvm,lof,lstm,flatline,temporal_change,freeze"
kddcup99_smtp,real,lof,9571,3,479,0.004175,0.666667,0.008299,0.814817,0.004904,"iforest,ocsvm,lof,lstm,flatline,temporal_change,freeze"
kddcup99_smtp,real,lstm,9571,3,479,0.004175,0.666667,0.008299,0.92893,0.014402,"iforest,ocsvm,lof,lstm,flatline,temporal_change,freeze"
kddcup99_smtp,real,flatline,9571,3,479,0.0,0.0,0.0,0.276721,0.000353,"iforest,ocsvm,lof,lstm,flatline,temporal_change,freeze"
kddcup99_smtp,real,temporal_change,9571,3,479,0.004175,0.666667,0.008299,0.864374,0.014009,"iforest,ocsvm,lof,lstm,flatline,temporal_change,freeze"
kddcup99_smtp,real,freeze,9571,3,282,0.0,0.0,0.0,0.633553,0.000674,"iforest,ocsvm,lof,lstm,flatline,temporal_change,freeze"
uci_glass_rare_class,real,ensemble,214,9,2,0.0,0.0,0.0,0.768022,0.173313,"iforest,ocsvm,lof,autoencoder,lstm,flatline,temporal_change,freeze"
uci_glass_rare_class,real,iforest,214,9,11,0.090909,0.111111,0.1,0.717615,0.098206,"iforest,ocsvm,lof,autoencoder,lstm,flatline,temporal_change,freeze"
uci_glass_rare_class,real,ocsvm,214,9,11,0.090909,0.111111,0.1,0.465041,0.090827,"iforest,ocsvm,lof,autoencoder,lstm,flatline,temporal_change,freeze"
uci_glass_rare_class,real,lof,214,9,11,0.090909,0.111111,0.1,0.838482,0.148778,"iforest,ocsvm,lof,autoencoder,lstm,flatline,temporal_change,freeze"
uci_glass_rare_class,real,autoencoder,214,9,11,0.090909,0.111111,0.1,0.550136,0.069223,"iforest,ocsvm,lof,autoencoder,lstm,flatline,temporal_change,freeze"
uci_glass_rare_class,real,lstm,214,9,11,0.0,0.0,0.0,0.888889,0.166971,"iforest,ocsvm,lof,autoencoder,lstm,flatline,temporal_change,freeze"
uci_glass_rare_class,real,flatline,214,9,11,0.0,0.0,0.0,0.492683,0.042821,"iforest,ocsvm,lof,autoencoder,lstm,flatline,temporal_change,freeze"
uci_glass_rare_class,real,temporal_change,214,9,11,0.090909,0.111111,0.1,0.693767,0.101953,"iforest,ocsvm,lof,autoencoder,lstm,flatline,temporal_change,freeze"
uci_glass_rare_class,real,freeze,214,9,10,0.2,0.222222,0.210526,0.687805,0.201026,"iforest,ocsvm,lof,autoencoder,lstm,flatline,temporal_change,freeze"
uci_pendigits_digit0,real,ensemble,7494,780,375,0.224,0.107692,0.145455,0.700315,0.185391,"iforest,ocsvm,lof,autoencoder,lstm,flatline,temporal_change,freeze"
uci_pendigits_digit0,real,iforest,7494,780,375,0.141333,0.067949,0.091775,0.648102,0.142668,"iforest,ocsvm,lof,autoencoder,lstm,flatline,temporal_change,freeze"
uci_pendigits_digit0,real,ocsvm,7494,780,375,0.162667,0.078205,0.105628,0.713972,0.167614,"iforest,ocsvm,lof,autoencoder,lstm,flatline,temporal_change,freeze"
uci_pendigits_digit0,real,lof,7494,780,375,0.168,0.080769,0.109091,0.511157,0.120359,"iforest,ocsvm,lof,autoencoder,lstm,flatline,temporal_change,freeze"
uci_pendigits_digit0,real,autoencoder,7494,780,375,0.421333,0.202564,0.273593,0.816419,0.310723,"iforest,ocsvm,lof,autoencoder,lstm,flatline,temporal_change,freeze"
uci_pendigits_digit0,real,lstm,7494,780,375,0.213333,0.102564,0.138528,0.646056,0.165449,"iforest,ocsvm,lof,autoencoder,lstm,flatline,temporal_change,freeze"
uci_pendigits_digit0,real,flatline,7494,780,375,0.008,0.003846,0.005195,0.284357,0.066998,"iforest,ocsvm,lof,autoencoder,lstm,flatline,temporal_change,freeze"
uci_pendigits_digit0,real,temporal_change,7494,780,375,0.269333,0.129487,0.174892,0.685206,0.199049,"iforest,ocsvm,lof,autoencoder,lstm,flatline,temporal_change,freeze"
uci_pendigits_digit0,real,freeze,7494,780,332,0.054217,0.023077,0.032374,0.400857,0.08229,"iforest,ocsvm,lof,autoencoder,lstm,flatline,temporal_change,freeze"
