dataset,scenario,score_source,rows,positive_count,predicted_positive_count,precision,recall,f1,roc_auc,pr_auc,models_used
adb_annthyroid,real,ensemble,7200,534,537,0.286778,0.28839,0.287582,0.744766,0.21787,"iforest,ocsvm,lof,autoencoder,lstm,flatline,temporal_change,freeze"
adb_annthyroid,real,iforest,7200,534,360,0.111111,0.074906,0.089485,0.548428,0.092256,"iforest,ocsvm,lof,autoencoder,lstm,flatline,temporal_change,freeze"
adb_annthyroid,real,ocsvm,7200,534,360,0.136111,0.09176,0.10962,0.572051,0.103435,"iforest,ocsvm,lof,autoencoder,lstm,flatline,temporal_change,freeze"
adb_annthyroid,real,lof,7200,534,360,0.186111,0.125468,0.149888,0.683435,0.13642,"iforest,ocsvm,lof,autoencoder,lstm,flatline,temporal_change,freeze"
adb_annthyroid,real,autoencoder,7200,534,360,0.083333,0.05618,0.067114,0.572419,0.092468,"iforest,ocsvm,lof,autoencoder,lstm,flatline,temporal_change,freeze"
adb_annthyroid,real,lstm,7200,534,360,0.083333,0.05618,0.067114,0.506245,0.077996,"iforest,ocsvm,lof,autoencoder,lstm,flatline,temporal_change,freeze"
adb_annthyroid,real,flatline,7200,534,360,0.005556,0.003745,0.004474,0.420719,0.058064,"iforest,ocsvm,lof,autoencoder,lstm,flatline,temporal_change,freeze"
adb_annthyroid,real,temporal_change,7200,534,360,0.327778,0.220974,0.263982,0.744766,0.21787,"iforest,ocsvm,lof,autoencoder,lstm,flatline,temporal_change,freeze"
adb_annthyroid,real,freeze,7200,534,280,0.064286,0.033708,0.044226,0.501809,0.073024,"iforest,ocsvm,lof,autoencoder,lstm,flatline,temporal_change,freeze"
kddcup99_http,real,ensemble,10000,376,746,0.016086,0.031915,0.02139,0.039919,0.035875,"iforest,ocsvm,lof,lstm,flatline,temporal_change,freeze"
kddcup99_http,real,iforest,10000,376,186,0.086022,0.042553,0.05694,0.982902,0.666149,"iforest,ocsvm,lof,lstm,flatline,temporal_change,freeze"
kddcup99_http,real,ocsvm,10000,376,500,0.752,1.0,0.858447,0.996155,0.835556,"iforest,ocsvm,lof,lstm,flatline,temporal_change,freeze"
kddcup99_http,real,lof,10000,376,500,0.032,0.042553,0.03653,0.335465,0.055018,"iforest,ocsvm,lof,lstm,flatline,temporal_change,freeze"
kddcup99_http,real,lstm,10000,376,499,0.488978,0.648936,0.557714,0.973123,0.463379,"iforest,ocsvm,lof,lstm,flatline,temporal_change,freeze"
kddcup99_http,real,flatline,10000,376,500,0.0,0.0,0.0,0.174431,0.043313,"iforest,ocsvm,lof,lstm,flatline,temporal_change,freeze"
kddcup99_http,real,temporal_change,10000,376,499,0.024048,0.031915,0.027429,0.039919,0.035875,"iforest,ocsvm,lof,lstm,flatline,temporal_change,freeze"
kddcup99_http,real,freeze,10000,376,478,0.75523,0.960106,0.845433,0.981763,0.95798,"iforest,ocsvm,lof,lstm,flatline,temporal_change,freeze"
kddcup99_smtp,real,ensemble,9571,3,714,0.002801,0.666667,0.005579,0.864374,0.014009,"iforest,ocsvm,lof,lstm,flatline,temporal_change,freeze"
kddcup99_smtp,real,iforest,9571,3,479,0.004175,0.666667,0.008299,0.857023,0.014138,"iforest,ocsvm,lof,lstm,flatline,temporal_change,freeze"
kddcup99_smtp,real,ocsvm,9571,3,479,0.004175,0.666667,0.008299,0.699136,0.014006,"iforest,ocsvm,lof,lstm,flatline,temporal_change,freeze"
kddcup99_smtp,real,lof,9571,3,479,0.004175,0.666667,0.008299,0.751707,0.014031,"iforest,ocsvm,lof,lstm,flatline,temporal_change,freeze"
kddcup99_smtp,real,lstm,9571,3,479,0.004175,0.666667,0.008299,0.930358,0.014413,"iforest,ocsvm,lof,lstm,flatline,temporal_change,freeze"
kddcup99_smtp,real,flatline,9571,3,479,0.0,0.0,0.0,0.276721,0.000353,"iforest,ocsvm,lof,lstm,flatline,temporal_change,freeze"
kddcup99_smtp,real,temporal_change,9571,3,479,0.004175,0.666667,0.008299,0.864374,0.014009,"iforest,ocsvm,lof,lstm,flatline,temporal_change,freeze"
kddcup99_smtp,real,freeze,9571,3,282,0.0,0.0,0.0,0.633553,0.000674,"iforest,ocsvm,lof,lstm,flatline,temporal_change,freeze"
uci_glass_rare_class,real,ensemble,214,9,16,0.0625,0.111111,0.08,0.693767,0.101953,"iforest,ocsvm,lof,autoencoder,lstm,flatline,temporal_change,freeze"
uci_glass_rare_class,real,iforest,214,9,11,0.090909,0.111111,0.1,0.665041,0.088986,"iforest,ocsvm,lof,autoencoder,lstm,flatline,temporal_change,freeze"
uci_glass_rare_class,real,ocsvm,214,9,11,0.090909,0.111111,0.1,0.490515,0.099784,"iforest,ocsvm,lof,autoencoder,lstm,flatline,temporal_change,freeze"
uci_glass_rare_class,real,lof,214,9,11,0.090909,0.111111,0.1,0.814092,0.131496,"iforest,ocsvm,lof,autoencoder,lstm,flatline,temporal_change,freeze"
uci_glass_rare_class,real,autoencoder,214,9,11,0.090909,0.111111,0.1,0.464499,0.059573,"iforest,ocsvm,lof,autoencoder,lstm,flatline,temporal_change,freeze"
uci_glass_rare_class,real,lstm,214,9,11,0.0,0.0,0.0,0.806504,0.104735,"iforest,ocsvm,lof,autoencoder,lstm,flatline,temporal_change,freeze"
uci_glass_rare_class,real,flatline,214,9,11,0.0,0.0,0.0,0.492683,0.042821,"iforest,ocsvm,lof,autoencoder,lstm,flatline,temporal_change,freeze"
uci_glass_rare_class,real,temporal_change,214,9,11,0.090909,0.111111,0.1,0.693767,0.101953,"iforest,ocsvm,lof,autoencoder,lstm,flatline,temporal_change,freeze"
uci_glass_rare_class,real,freeze,214,9,10,0.2,0.222222,0.210526,0.687805,0.201026,"iforest,ocsvm,lof,autoencoder,lstm,flatline,temporal_change,freeze"
uci_pendigits_digit0,real,ensemble,7494,780,559,0.241503,0.173077,0.201643,0.685206,0.199049,"iforest,ocsvm,lof,autoencoder,lstm,flatline,temporal_change,freeze"
uci_pendigits_digit0,real,iforest,7494,780,375,0.152,0.073077,0.098701,0.607596,0.133503,"iforest,ocsvm,lof,autoencoder,lstm,flatline,temporal_change,freeze"
uci_pendigits_digit0,real,ocsvm,7494,780,375,0.162667,0.078205,0.105628,0.716617,0.168912,"iforest,ocsvm,lof,autoencoder,lstm,flatline,temporal_change,freeze"
uci_pendigits_digit0,real,lof,7494,780,375,0.128,0.061538,0.083117,0.511869,0.112949,"iforest,ocsvm,lof,autoencoder,lstm,flatline,temporal_change,freeze"
uci_pendigits_digit0,real,autoencoder,7494,780,375,0.010667,0.005128,0.006926,0.57219,0.1097,"iforest,ocsvm,lof,autoencoder,lstm,flatline,temporal_change,freeze"
