dataset,scenario,score_source,rows,positive_count,predicted_positive_count,precision,recall,f1,roc_auc,pr_auc,models_used,meta_selected_source,meta_matched_dataset
adb_annthyroid,real,ensemble,7200,534,534,0.284644,0.284644,0.284644,0.744766,0.21787,"iforest,ocsvm,lof,autoencoder,lstm,flatline,temporal_change,freeze",ensemble,adb_annthyroid
adb_annthyroid,real,iforest,7200,534,360,0.094444,0.06367,0.076063,0.542073,0.08704,"iforest,ocsvm,lof,autoencoder,lstm,flatline,temporal_change,freeze",ensemble,adb_annthyroid
adb_annthyroid,real,ocsvm,7200,534,360,0.144444,0.097378,0.116331,0.566969,0.103379,"iforest,ocsvm,lof,autoencoder,lstm,flatline,temporal_change,freeze",ensemble,adb_annthyroid
adb_annthyroid,real,lof,7200,534,360,0.180556,0.121723,0.145414,0.687546,0.138775,"iforest,ocsvm,lof,autoencoder,lstm,flatline,temporal_change,freeze",ensemble,adb_annthyroid
adb_annthyroid,real,autoencoder,7200,534,360,0.083333,0.05618,0.067114,0.575888,0.095631,"iforest,ocsvm,lof,autoencoder,lstm,flatline,temporal_change,freeze",ensemble,adb_annthyroid
adb_annthyroid,real,lstm,7200,534,360,0.088889,0.059925,0.071588,0.504125,0.077269,"iforest,ocsvm,lof,autoencoder,lstm,flatline,temporal_change,freeze",ensemble,adb_annthyroid
adb_annthyroid,real,flatline,7200,534,360,0.005556,0.003745,0.004474,0.420719,0.058064,"iforest,ocsvm,lof,autoencoder,lstm,flatline,temporal_change,freeze",ensemble,adb_annthyroid
adb_annthyroid,real,temporal_change,7200,534,360,0.327778,0.220974,0.263982,0.744766,0.21787,"iforest,ocsvm,lof,autoencoder,lstm,flatline,temporal_change,freeze",ensemble,adb_annthyroid
adb_annthyroid,real,freeze,7200,534,280,0.064286,0.033708,0.044226,0.501809,0.073024,"iforest,ocsvm,lof,autoencoder,lstm,flatline,temporal_change,freeze",ensemble,adb_annthyroid
kddcup99_http,real,ensemble,10000,376,447,0.836689,0.994681,0.90887,0.996187,0.836683,"iforest,ocsvm,lof,lstm,flatline,temporal_change,freeze",ocsvm,kddcup99_http
kddcup99_http,real,iforest,10000,376,220,0.072727,0.042553,0.053691,0.979519,0.627498,"iforest,ocsvm,lof,lstm,flatline,temporal_change,freeze",ocsvm,kddcup99_http
kddcup99_http,real,ocsvm,10000,376,500,0.752,1.0,0.858447,0.996187,0.836683,"iforest,ocsvm,lof,lstm,flatline,temporal_change,freeze",ocsvm,kddcup99_http
kddcup99_http,real,lof,10000,376,500,0.03,0.039894,0.034247,0.341425,0.055194,"iforest,ocsvm,lof,lstm,flatline,temporal_change,freeze",ocsvm,kddcup99_http
kddcup99_http,real,lstm,10000,376,500,0.62,0.824468,0.707763,0.979897,0.532493,"iforest,ocsvm,lof,lstm,flatline,temporal_change,freeze",ocsvm,kddcup99_http
kddcup99_http,real,flatline,10000,376,500,0.0,0.0,0.0,0.174431,0.043313,"iforest,ocsvm,lof,lstm,flatline,temporal_change,freeze",ocsvm,kddcup99_http
kddcup99_http,real,temporal_change,10000,376,499,0.024048,0.031915,0.027429,0.039919,0.035875,"iforest,ocsvm,lof,lstm,flatline,temporal_change,freeze",ocsvm,kddcup99_http
kddcup99_http,real,freeze,10000,376,478,0.75523,0.960106,0.845433,0.981763,0.95798,"iforest,ocsvm,lof,lstm,flatline,temporal_change,freeze",ocsvm,kddcup99_http
kddcup99_smtp,real,ensemble,9571,3,97,0.020619,0.666667,0.04,0.864374,0.014009,"iforest,ocsvm,lof,lstm,flatline,temporal_change,freeze",temporal_change,kddcup99_smtp
kddcup99_smtp,real,iforest,9571,3,479,0.004175,0.666667,0.008299,0.874826,0.014174,"iforest,ocsvm,lof,lstm,flatline,temporal_change,freeze",temporal_change,kddcup99_smtp
kddcup99_smtp,real,ocsvm,9571,3,479,0.004175,0.666667,0.008299,0.694328,0.014004,"iforest,ocsvm,lof,lstm,flatline,temporal_change,freeze",temporal_change,kddcup99_smtp
kddcup99_smtp,real,lof,9571,3,479,0.004175,0.666667,0.008299,0.814817,0.004904,"iforest,ocsvm,lof,lstm,flatline,temporal_change,freeze",temporal_change,kddcup99_smtp
kddcup99_smtp,real,lstm,9571,3,479,0.004175,0.666667,0.008299,0.931717,0.014424,"iforest,ocsvm,lof,lstm,flatline,temporal_change,freeze",temporal_change,kddcup99_smtp
kddcup99_smtp,real,flatline,9571,3,479,0.0,0.0,0.0,0.276721,0.000353,"iforest,ocsvm,lof,lstm,flatline,temporal_change,freeze",temporal_change,kddcup99_smtp
kddcup99_smtp,real,temporal_change,9571,3,479,0.004175,0.666667,0.008299,0.864374,0.014009,"iforest,ocsvm,lof,lstm,flatline,temporal_change,freeze",temporal_change,kddcup99_smtp
kddcup99_smtp,real,freeze,9571,3,282,0.0,0.0,0.0,0.633553,0.000674,"iforest,ocsvm,lof,lstm,flatline,temporal_change,freeze",temporal_change,kddcup99_smtp
uci_glass_rare_class,real,ensemble,214,9,9,0.111111,0.111111,0.111111,0.822764,0.134984,"iforest,ocsvm,lof,autoencoder,lstm,flatline,temporal_change,freeze",lof,uci_glass_rare_class
uci_glass_rare_class,real,iforest,214,9,11,0.090909,0.111111,0.1,0.721951,0.101016,"iforest,ocsvm,lof,autoencoder,lstm,flatline,temporal_change,freeze",lof,uci_glass_rare_class
uci_glass_rare_class,real,ocsvm,214,9,11,0.090909,0.111111,0.1,0.463415,0.09061,"iforest,ocsvm,lof,autoencoder,lstm,flatline,temporal_change,freeze",lof,uci_glass_rare_class
uci_glass_rare_class,real,lof,214,9,11,0.090909,0.111111,0.1,0.822764,0.134984,"iforest,ocsvm,lof,autoencoder,lstm,flatline,temporal_change,freeze",lof,uci_glass_rare_class
uci_glass_rare_class,real,autoencoder,214,9,11,0.090909,0.111111,0.1,0.500813,0.064149,"iforest,ocsvm,lof,autoencoder,lstm,flatline,temporal_change,freeze",lof,uci_glass_rare_class
uci_glass_rare_class,real,lstm,214,9,11,0.0,0.0,0.0,0.861247,0.138923,"iforest,ocsvm,lof,autoencoder,lstm,flatline,temporal_change,freeze",lof,uci_glass_rare_class
uci_glass_rare_class,real,flatline,214,9,11,0.0,0.0,0.0,0.492683,0.042821,"iforest,ocsvm,lof,autoencoder,lstm,flatline,temporal_change,freeze",lof,uci_glass_rare_class
uci_glass_rare_class,real,temporal_change,214,9,11,0.090909,0.111111,0.1,0.693767,0.101953,"iforest,ocsvm,lof,autoencoder,lstm,flatline,temporal_change,freeze",lof,uci_glass_rare_class
uci_glass_rare_class,real,freeze,214,9,10,0.2,0.222222,0.210526,0.687805,0.201026,"iforest,ocsvm,lof,autoencoder,lstm,flatline,temporal_change,freeze",lof,uci_glass_rare_class
uci_pendigits_digit0,real,ensemble,7494,780,780,0.238462,0.238462,0.238462,0.685206,0.199049,"iforest,ocsvm,lof,autoencoder,lstm,flatline,temporal_change,freeze",ensemble,uci_pendigits_digit0
uci_pendigits_digit0,real,iforest,7494,780,375,0.170667,0.082051,0.110823,0.627297,0.14075,"iforest,ocsvm,lof,autoencoder,lstm,flatline,temporal_change,freeze",ensemble,uci_pendigits_digit0
uci_pendigits_digit0,real,ocsvm,7494,780,375,0.157333,0.075641,0.102165,0.740395,0.179871,"iforest,ocsvm,lof,autoencoder,lstm,flatline,temporal_change,freeze",ensemble,uci_pendigits_digit0
uci_pendigits_digit0,real,lof,7494,780,375,0.157333,0.075641,0.102165,0.515207,0.116402,"iforest,ocsvm,lof,autoencoder,lstm,flatline,temporal_change,freeze",ensemble,uci_pendigits_digit0
uci_pendigits_digit0,real,autoencoder,7494,780,375,0.28,0.134615,0.181818,0.857789,0.297481,"iforest,ocsvm,lof,autoencoder,lstm,flatline,temporal_change,freeze",ensemble,uci_pendigits_digit0
